,뉴스,
N1,earth라는 별에서 온 종족이 스스로를 little brothers라 부르며 유토피아에 도착했습니다.,The race from the planet <Earth> has just arrived at <Utopia>. They call themselves 'Little Brothers'.
N2,이제 유토피아에는 총 6개의 종족이 있게 되었습니다.,"Now, there are six races in <Utopia>."
N3,little brothers는 뛰어난 과학기술을 가지고 있습니다. 이제 그들이 유토피아 연합의 일원으로 의무를 짊어질 것인지 투표합니다.,"Little Brothers' has excellent science technology. Now, citizens go ahead and vote on whether or not 'Little Brothers' have a duty as member of 'the Utopia Union'."
N4,리틀브라더는 유토피아에 도착한지 얼마되지 않아 낯선 환경에 적응하기 위해 도움이 필요할 것 같습니다.,"Little Brothers' arrived only a few days ago. So, citizens should help them adapt themselves to this new surroundings."
N5,종족이 늘어난 만큼 유토피아 연합의 통제력이 강화되야 한다는 의견이 있습니다.,"There are some opinions that as the population grew, 'the Utopia Union' should be strengthened."
N6,유토피아는 평화롭지만 그 이면엔 엄청난 노력이 있었습니다. 비둘기족이 리틀브라더를 위해 임시보호 제안을 했습니다.,"Behind the peaceful <Utopia>, there were various efforts of citizens. 'Pigeons' has made a proposal of temporary protection for 'Little Brothers'."
N7,유토피아 연합이 거둬들인 세금을 어떻게 쓰일지 결정하는 중요한 순간이 왔습니다.,It's time to make a decision how 'the Utopia Union' uses the taxes.
N8,"지적 생명체만이 문명, 문화, 예술을 탄생시킬 수 있습니다. 유토피아 연합은 그것을 원하고 있습니다.","Only intelligent lives can create civilization, culture, and art. 'The Utopia Union' want to do that."
N9,지적 생명체만이 과학과 기술을 발전시킬 수 있습니다. 유토피아 연합의 방향을 정할 때입니다.,Only intelligent lives can develop science and technology. 'The Utopia Union' should set their future policies.
N10,"서로 다른 생체적 특징 탓에 우리는 거주 구역을 나누어왔습니다. 하지만, 과학 기술은 우리가 공존할 수 있는 환경을 만들었습니다.","Because of the different biological characteristics, citizes had been divided up the residential areas. However, technology has improved to an environment where we can coexist."
