다른인간,비둘기종족,바퀴벌레족,코끼리족,고양이족,오리너구리족,뱀족,로봇
인간의 입장에서말함,"보수적, 문화예술","가난한 하층민, 일베","환경운동가, 자유주의",진보적,과학주의,"무정부주의자, 테러,",
도움을 받는 것이 좋지 않을까?,우리는 언제든 도와줄 준비가 되어있어!,척박한 환경에서 보호는 필수적인 것,리틀브라더는 나약해 보여,보호라는 이름의 지배.,리틀브라더는 좋은 기술자들이 될거야.,관심 없다.,
그들을 믿어도 되는걸까?,비둘기 종족이야 말로 새 구성원의 안정을 위해 적합하지,척박한 환경에서 보호는 필수적인 것,리틀브라더는 관리가 필요해보여,평화 그리고 위선.,,돈에 눈먼 쓰레기들,
,문화 예술이야 말로 존재의 의미를 되찾게 만든다.,척박한 환경,예산을 별의 생명력에 썼으면 해,,눈에 보이지 않는 것에 돈쓰지마 !!,돈을 어디에 쓰려는 거야?,
,종족 교류야 말로 유토피아가 존재해온 근거가 아닌가!,종족 교류야 말로 유토피아의 이상,,모든 물감을 섞으면 검정이 된다.,,획일화 절대 반대.,
자리 잡지 못했기 때문에 아직은 벽이 필요하지 않을까?,자치구역 해제는 위험한 발상입니다 여러분. ,(비둘기 리트윗),규제가 없으면 모든 것이 파괴될지 몰라,자유를 제한하는 여러가지 방식들.,,보호를 걷어내려는 세력. 당하지 않는다 우리는,
,유토피아의 평화를 위해!,(비둘기 리트윗),,모든 것을 으깨서 하나로 뭉쳐버리려는 시도,,모집중! 연합체를 습격할 요원,
,유토피아 내의 전쟁은 안돼!,(비둘기 리트윗),싸움은 모든 걸 파괴한다...절대 안돼..,우리는 스스로를 방어할 수 있어야 해,"무기 개발 자유는 더 큰 과학기술의 진보를 만들거야, 난 좋아",무기는 최고의 방어,
,통합은 더 큰 결과를 만들어내지!,(비둘기 리트윗),,통합이라는 이름의 지배.,쓸데 없는 것에 돈을 쓰지마!!,정신을 지배하는 수단.,
우리를 고유한 종족으로 인정해주려는 걸까?,각 종족의 역사는 보존되어야 합니다.,(비둘기 리트윗),,왜곡. 거짓.,과거가 아닌 미래에 돈을 써야해,유토피아를 한 방에 터트려버릴 수 없을까?,
