,DAY,질문,Q,little brother,pigeon,mantis,cat,elephant,frog,robot,snake
V1,1,지구라는 별에서 온 little brother는 좋은 존재입니까?,"For <Utopia>, 'Little Brothers' is ",,"@Little_Brother Welcome to Utopia, little brother!","@Little_Brother Good to know you, guys!",@Little_Brother I got new friends today! Lovely :),@Little_Brother Let’s live together. #Happy2gather,@Little_Brother What a super duper high-tech fellows. Croak.,,
V2,2,모든 개체는 존중받아야 합니까?,All races are ,,,,I got only 3 flies today. Sigh :(,,,,
V3,3,유토피아를 위해 노동과 납세의 의무를 가집니까?,The wokers have the obligation to pay their taxes. ,,,,,,Electricity exists only when we pay taxes. Croak.,,
V4,4,리틀브라더는 유토피아 연합의 임시 보호를 받습니까?,The Utopia Union' should temporarily protects 'Little Brothers'.,,"@Little_Brother We are absolutely prepared to help you, my friend!","[Pigeon Retweeted] @Little_Brother We are absolutely prepared to help you, my friend!",,Little brothers are still NEWBIES! #Mercy4them,@Little_Brother NP! Development in new technology will bring us numerous new jobs for you! Croak.,,
V5,5,종족 내 규칙도 유토피아 연합이 통제합니까?,The Utopia Union' deserve to control each racial rule.,,,,"@Little_Brother Have you seen Plaza screen, sweety? You can look around Utopia here ;)",,,,
V6,5,리틀브라더는 [비둘기족]의 임시보호를 받습니까?,Little Brothers' should be temporarily protected by 'Pigeons'. ,,It has been proven that the Pigeons are “most competitive protecter” in Utopia.,POOR ENVIRONMENT! NEED PROTECTION!,PEACE and TWO-FACED? Pfft }:P,“Little” brothers need a care ofcourse! #OurLittleFinger,,,
V7,6,예산을 어디에 투자합니까? YES : 문화예술 / NO : 과학기술,The securing of 'the Utopia Union' budget is for,,,HARD DAY’S NIGHT.. HUGE RADIOACTIVE MINERALS.. HANDS ARE MELT DOWN.. BUT TOMORROW THEY WILL BE REPRODUCED..,,Who can handle with disaster coming from development? #LookAround #GoodExample #OldEarth,"예산을 별의 생명력에 썼으면 해, 과학기술은 별을 보호해줄거야",,
V8,7,"문화 예술 - 예산을 어디에 투자합니까? 

YES : 종족교류  (전체주의)
/ NO : 종족자치 (자유주의)",Invest the budget for Art & culture ,,The intergration of culture is the flag of Utopia!,,STRONGLY disagree with making us to do the same! Mixing all colors makes no more than BLACK! }:[,,,,
V9,7,어떤 과학 기술에 투자합니까?YES : 우주항공 (자본주의) / / NO : 식량개발 (공산주의),Invest the budget for Science & Technology,,,"EAT, EAT BUT STILL HUNGRY...","Here is a “White mouse and Black mouse theory”. GIVE ME MORE FOODS, WHICHEVER! :-X",,“To infinity and beyond!” - Toy Story. Croak.,,
V10,8,종족 구역 제한을 해제합니까?,Racial zone boundaries should be,,,"WE ARE NOT DISEASE.. ONLY TRANMIT.. ANYWAY, I DON‘T CARE. MY IMMUNITY GOOD..",FREEDOM IN MOVING!!! :-D,Worrying about destruction may happens. #SaveTheUtopia,,,
V11,8,종족의 무기 개발을 허용합니까?,Who qualify for weaponeering?,,No war in Utopia!,[Pigeon Retweeted] No war in Utopia!,We need to protect ourselves! :-0,,I like it! Freedom in weapons would make progress in technology. Croak.,,
V12,8,은하 탐사를 민간에 허가하고 세금을 걷습니까?,Civil private galaxies exploration,,,,,Who would be responsible for damage from development? #SaveTheUtopia #Peace,“To infinity and beyond!” - Toy Story. Croak.,,
